"movie_id","movie_title","realease_date","user_review","critic_reviews","popularity","awards","awards_wins","awards_nominations"
"tt0217869","Unbreakable","22 November 2000 (USA)","1356","293","184","2 wins & 12 nominations.","2","12"
"tt0180093","Requiem for a Dream","15 December 2000 (USA)","1930","238","245","Another 32 wins & 61 nominations.","32","61"
"tt0208092","Snatch","19 January 2001 (USA)","735","151","307","4 wins & 6 nominations.","4","6"
