year,movie_id,awards,won_nominated,categories
2017,tt5726616,"Academy Awards, USA",Nominated; Nominated; Nominated; Nominated,Best Performance by an Actor in a Leading Role; Best Adapted Screenplay; Best Motion Picture of the Year; Best Achievement in Music Written for Motion Pictures (Original Song)
2017,tt5726616,"Golden Globes, USA",Nominated; Nominated; Nominated,Best Motion Picture - Drama; Best Performance by an Actor in a Motion Picture - Drama; Best Performance by an Actor in a Supporting Role in a Motion Picture
2017,tt5726616,BAFTA Awards,Won; Nominated; Nominated; Nominated,Best Screenplay (Adapted); Best Film; Best Leading Actor; David Lean Award for Direction
2017,tt5726616,Screen Actors Guild Awards,Nominated,Outstanding Performance by a Male Actor in a Leading Role
2017,tt5726616,AACTA International Awards,Nominated; Nominated; Nominated; Nominated; Nominated,Best Film; Best Direction; Best Screenplay; Best Lead Actor; Best Supporting Actor
2017,tt5726616,Adelaide Film Festival,Nominated,Best Feature
